candidate_name,candidate_slug,source,external_formula,external_add,proposed_base_trick,proposed_modifiers,reason_safe,notes
Assassin,assassin,footbagmoves,Pixie Ducking Mirage,4,mirage,pixie|ducking|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Blaze,blaze,footbagmoves,Blazing Mirage,4,mirage,whirling|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Mantis,mantis,footbagmoves,Gyro Eggbeater,4,eggbeater,spinning|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Nova,nova,footbagmoves,Symposium Double Legover,4,double-leg-over,symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Slapdown,slapdown,footbagmoves,Slapping Butterfly,4,butterfly,quantum|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Swifter,swifter,footbagmoves,Drifter Swirl,4,swirl,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Tapdown,tapdown,footbagmoves,Tapping Butterfly,4,butterfly,atomic|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Whirlwalk,whirlwalk,footbagmoves,Blazing Paradox Whirl,5,whirl,whirling|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Big Apple,big-apple,footbagmoves,Gyro Symposium Torque,6,mobius,spinning|paradox|symposium|symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Colossus,colossus,footbagmoves,Spyro Diving Symposium Whirl,6,whirl,spinning|diving|paradox|symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Fission,fission,footbagmoves,Furious Illusion,6,illusion,barraging|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Irish Cream,irish-cream,footbagmoves,Neutron Torque,6,mobius,atomic|gyro|tapping,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Superduperfly,superduperfly,footbagmoves,Spinning Symposium Double Over Down,6,superfly,spinning,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Bladerunner,bladerunner,footbagmoves,Atomic Eggbeater,5,eggbeater,atomic,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Darkwalk,darkwalk,footbagmoves,Pixie Diving Butterfly,5,butterfly,pixie|diving|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Flurricane,flurricane,footbagmoves,Gyro Flurry,5,flurry,gyro,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Legbreaker,legbreaker,footbagmoves,Flailing Butterfly,5,butterfly,flailing|paradox|symposium|atomic|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Motion,motion,footbagmoves,Double Over Downing Osis,5,osis,double|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Predator,predator,footbagmoves,Atomic Double Legover,5,double-leg-over,atomic|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Reactor,reactor,footbagmoves,Atomic Whirl,5,whirl,atomic|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Ripcurl,ripcurl,footbagmoves,Stepping Butterfly Swirl,5,swirl,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Riptide,riptide,footbagmoves,Stepping Far Butterfly Swirl,5,swirl,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Whirlwalk,whirlwalk,footbagmoves,Blazing Paradox Whirl,5,whirl,whirling|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Assassin,assassin,footbagmoves,Pixie Ducking Mirage,4,mirage,pixie|ducking|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Blaze,blaze,footbagmoves,Blazing Mirage,4,mirage,whirling|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Big Apple,big-apple,footbagmoves,Gyro Symposium Torque,6,mobius,spinning|paradox|symposium|symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Colossus,colossus,footbagmoves,Spyro Diving Symposium Whirl,6,whirl,spinning|diving|paradox|symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Cold Fusion,cold-fusion,footbagmoves,Nuclear Double Over Down,7,fusion,nuclear|paradox|double|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Genesis,genesis,footbagmoves,Furious Whirl,7,whirl,barraging|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Nebula,nebula,footbagmoves,Furious Double Legover,7,double-leg-over,barraging|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Assassin,assassin,footbagmoves,Pixie Mirage (op) (ducking),4,mirage,pixie|ducking|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Bladerunner,bladerunner,footbagmoves,Atomic Eggbeater (op),5,eggbeater,atomic,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Motion,motion,footbagmoves,Motion (op),5,osis,double|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Motion,motion,footbagmoves,Motion (op),5,osis,double|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Motion,motion,footbagmoves,Motion (op),5,osis,double|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Spanishfly,spanishfly,footbagmoves,Ducking Double Down (op),5,clipper,ducking|paradox|double,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Swifter,swifter,footbagmoves,Stepping Swirl (op),4,swirl,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Swifter,swifter,footbagmoves,Stepping Swirl (op),4,swirl,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Whirlygig,whirlygig,footbagmoves,Stepping Whirl (op) (symp),6,whirl,stepping|paradox|symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Anonymous,anonymous,passback,Spinning far Miraging Symp. Miraging Refraction,3,refraction,spinning|paradox|miraging|symposium|miraging,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Armaggedon,armaggedon,passback,Miraging Symp. Eggbeater,3,eggbeater,miraging|symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Assassin,assassin,passback,Pixie Ducking far Mirage,2,mirage,pixie|ducking|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Badger,badger,passback,Symp. Butterfly Swirl,2,swirl,symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Bedwetter,bedwetter,passback,Stepping far Eggbeater,3,eggbeater,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Big Apple,big-apple,passback,"Spinning near Symp. Torque, Symp. Mobius",1,mobius,spinning|paradox|symposium|symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Bladerunner,bladerunner,passback,Atomic far Eggbeater,3,eggbeater,atomic,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Blaze,blaze,passback,Whirling far Mirage,2,mirage,whirling|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Blizzard,blizzard,passback,Stepping far Illusion,2,illusion,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Blurrage,blurrage,passback,Stepping far Barrage,3,barrage,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Cold Fusion,cold-fusion,passback,"Nuclear far Double Down, Pdx. Fusion",3,fusion,nuclear|paradox|double|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Colossus,colossus,passback,Spinning Diving near Symp. Whirl,1,whirl,spinning|diving|paradox|symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Darkwalk,darkwalk,passback,Pixie Diving near Butterfly,2,butterfly,pixie|diving|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
DDD/Down Double Down,ddd-down-double-down,passback,Clipper near Double Down,2,clipper,paradox|double,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Flare,flare,passback,Symp. Whirling far Mirage,2,mirage,symposium|whirling|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Flurricane,flurricane,passback,Gyro Flurry,3,flurry,gyro,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
"GDLO (""gee-dee-ell-oh"")",gdlo-gee-dee-ell-oh,passback,Gyro DLO,2,double-leg-over,gyro,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Golden Shower,golden-shower,passback,Stepping Ducking far Symp. Eggbeater,3,eggbeater,stepping|ducking|paradox|symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
GYBAS/Grab Your Balls and Squeeze,gybas-grab-your-balls-and-squeeze,passback,Stepping far Dyno,2,dyno,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Irish Cream,irish-cream,passback,"Atomic Gyro Torque, Tapping Mobius",2,mobius,atomic|gyro|tapping,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Johnny Vodka,johnny-vodka,passback,Pixie Mobius,,mobius,pixie,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Legbreaker,legbreaker,passback,"Flailing far Butterfly, Symp. Atomic far Butterfly",2,butterfly,flailing|paradox|symposium|atomic|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Mantis,mantis,passback,Spinning near Eggbeater,2,eggbeater,spinning|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Motion,motion,passback,Double Down near Osis,2,osis,double|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Nova,nova,passback,Symp. DLO,,double-leg-over,symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Pandora's Box,pandora-s-box,passback,Gyro Pickup,1,pickup,gyro,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Predator,predator,passback,Atomic far DLO,3,double-leg-over,atomic|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Reactor,reactor,passback,Atomic far Whirl,2,whirl,atomic|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Ripcurl,ripcurl,passback,"Stepping near Butterfly Swirl, Sidewalk Swirl",2,swirl,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Riptide,riptide,passback,"Stepping far Butterfly Swirl, Ripwalk Swirl",2,swirl,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Schmoe,schmoe,passback,Stepping near Legover,2,legover,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Slapdown,slapdown,passback,Quantum near Butterfly,2,butterfly,quantum|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Spanishfly,spanishfly,passback,Clipper Ducking far Double Down,2,clipper,ducking|paradox|double,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Spikehammer,spikehammer,passback,Stepping Ducking Mirage,2,mirage,stepping|ducking,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Superduperfly,superduperfly,passback,Spinning Superfly,2,superfly,spinning,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Swifter,swifter,passback,Stepping far Swirl,2,swirl,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Twist,twist,passback,Rev. Swirl,1,swirl,rev,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Whirlwalk,whirlwalk,passback,Whirling far Whirl,2,whirl,whirling|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Whirlygig,whirlygig,passback,Stepping far Symp. Whirl,2,whirl,stepping|paradox|symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Bladerunner,bladerunner,passback,Atomic Eggbeater,,eggbeater,atomic,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
