observed_name,provenance,disposition,target_slug,strongest_candidate_tested,source_notation,candidate_notation,structural_mismatch,add_disagreement,why_alias_false_or_reason,positional_preserved,public_status
BS Paste,PB,register-alias,backside_paste,backside_paste,(no notation row; name-level),"(active canonical, 4 ADD)",none - BS=Backside expands to the exact active canonical,n/a,abbreviation of the active canonical Backside Paste,n/a,"resolved-archive (public, as alias)"
Xbd Sole Stall,PB,register-alias,cross_body_sole_stall,cross_body_sole_stall,(name-level),SET > SAME SOLE [XBD] [UNS] [DEL],none - Xbd=cross-body expands to the exact active canonical,n/a,abbreviation of the active canonical cross-body sole stall,n/a,"resolved-archive (public, as alias)"
Gryo DLO,PB,spelling-normalization,gyro_double_leg_over,gyro_double_leg_over,(name-level),CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP OUT [DEX] ...,none - Gryo is a typo for Gyro; DLO=double leg over,n/a,spelling variant of Gyro DLO,n/a,"resolved-archive (public, as alias)"
double-dex ATW,PB,register-alias,double_around_the_world,double_around_the_world,(name-level; ATW inward doctrine),TOE > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],none - two repeated inward dexes = Double ATW,n/a,a double-dex ATW is the Double Around the World,inward preserved,"resolved-archive (public, as alias)"
triple-dex ATW,PB,register-alias,triple_around_the_world,triple_around_the_world,(name-level),TOE > SAME IN [DEX] x3 > SAME TOE [DEL],none - three repeated inward dexes = Triple ATW,n/a,a triple-dex ATW is the Triple Around the World,inward preserved,"resolved-archive (public, as alias)"
Double Reverse ATW,SG,register-alias,double_orbit,double_orbit,"(orbit already aliases ""reverse atw"")",TOE > SAME OUT [DEX] x2 > SAME TOE [DEL],none - Reverse ATW=Orbit (ratified); double form=double orbit,n/a,Reverse ATW vocabulary maps to Orbit; the double is double orbit,outward preserved,"resolved-archive (public, as alias)"
Triple Reverse ATW,SG,register-alias,triple_orbit,triple_orbit,(orbit reverse-atw alias precedent),TOE > SAME OUT [DEX] x3 > SAME TOE [DEL],none - triple reverse ATW=triple orbit,n/a,Reverse ATW maps to Orbit; the triple is triple orbit,outward preserved,"resolved-archive (public, as alias)"
Rasmus,FM,register-alias,atomic_ducking_mirage,atomic_ducking_mirage,TOE > OP OUT [DEX] > DUCK [BOD] > OP IN [DEX] (XDEX) > OP TOE [DEL],TOE > OP OUT [DEX] > DUCK [BOD] > OP IN [DEX] > OP TOE [DEL],none - identical dex/body/terminal order (X-Dex aside),historical: source 5 ADD counts an X-Dex; canonical is 4 under the ducking-non-receiver ruling,"structure IS atomic ducking mirage; the folk name resolves, ADD kept as provenance",n/a,"resolved-archive (public, as alias)"
Leaning Jowler,FM,register-alias,surging_mirage,surging_mirage,CLIP > OP IN [DEX] > (front) SPIN [BOD] > SAME IN [DEX] > OP TOE [DEL],CLIP > OP IN [DEX] > (front) SPIN [BOD] > SAME IN [DEX] > OP TOE [DEL],none - exact structural match,none (both 4 ADD),structure IS surging mirage exactly; folk name resolves,n/a,"resolved-archive (public, as alias)"
Grifter (same side),FM,register-alias,reverse_drifter,reverse_drifter,CLIP > OP OUT [DEX] > SAME CLIP [XBD] [DEL],CLIP > OP OUT [DEX] > SAME CLIP [XBD] [DEL],none - exact match incl the same-side (SAME CLIP) terminal,none (both 3 ADD),the same-side grifter IS reverse drifter (same-side terminal captured),same side preserved (SAME CLIP),"resolved-archive (public, as alias)"
Frenzy,FM,hold-structural,,smear / pixie_mirage (rejected),TOE > SAME IN [DEX] > OP IN [DEX] > OP IN [DEX] (XDEX) > OP TOE [DEL],smear TOE > SAME IN [DEX] > SAME TOE...,dex directions and count differ; no canonical has this three-dex SAME-IN/OP-IN sequence,structural (not just ADD),no canonical shares the dex-order; would be a new promotion,n/a,review-held (suppressed from public EV)
Ill Frenzy,FM,hold-structural,,tapping_mirage (rejected),TOE > (rooted) SAME IN [DEX][BOD] > OP IN [DEX] > OP OUT [DEX] (XDEX) > OP TOE [DEL],tapping_mirage TOE > OP OUT [DEX] >> SAME OUT [DEX]...,extra rooted [BOD] and different dex order; distinct 5-6 dex structure,structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
Kill Frenzy,FM,hold-structural,,quantum_mirage (rejected),TOE > (rooted) SAME IN [DEX][BOD] > OP IN [DEX] > OP IN [DEX] (XDEX) > OP TOE [DEL],quantum_mirage differs in entry/dex order,distinct multi-dex structure,structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
Johny Quest,FM,hold-structural,,(spinning double-dex; no canonical),TOE > OP OUT [DEX] > (back) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL],(no canonical with this exact toe-spin-toe order),no active canonical has a back-spin between an OP-OUT and OP-IN dex ending toe,structural,no structural match; identical to Neutron Smasher (both new),n/a,review-held (suppressed from public EV)
Johny Vodka,FM,hold-structural,,pixie_torque (rejected),TOE > SAME IN [DEX] > (back) SPIN [BOD] > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],pixie_torque differs,double-spin structure distinct from any canonical,structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
Kiss Of The Scorpion,FM,hold-structural,,spinal_tap (rejected),TOE > SAME IN [DEX] > (back) SPIN [BOD] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],spinal_tap differs in dex order,distinct 5-dex spin compound; not scorpions_tail (Toe Nail/Kiss != Tail),structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
Massacre,FM,hold-structural,,bubba (rejected),CLIP > OP OUT [DEX] > (no plant while) OP OUT [DEX] (XDEX)(BOD)(PDX) > OP TOE [DEL],bubba is 2-ADD and far simpler,distinct paradox/x-dex structure; bubba_flail (tracked target) is not a canonical,structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
Neutron Smasher,FM,hold-structural,,(= Johny Quest structure; no canonical),TOE > OP OUT [DEX] > (back) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL],(no canonical with this order),no active canonical shares this toe-spin-toe order,structural,no structural match; new promotion (shares structure with Johny Quest),n/a,review-held (suppressed from public EV)
Super Ego,FM,hold-structural,,atomic_ducking_blender (rejected),TOE > OP OUT [DEX] > DUCK [BOD] > OP FRONT WHIRL [DEX] (XDEX) > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],atomic_ducking_blender TOE > OP OUT [DEX] > DUCK [BOD] > OP IN [DEX] > ...,blender has an OP-IN dex where Super Ego has an OP-FRONT-WHIRL dex plus a trailing back-spin; different terminal (clip vs blender term),"structural (whirl+extra spin, not just ADD)",the whirl and extra spin change the structure; not a pure ADD difference,n/a,review-held (suppressed from public EV)
Bubba Beater,FM,hold-structural,,eggbeater / spinning_legover (rejected),CLIP > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],eggbeater differs; spinning_legover has a spin,two same-direction OP-OUT dexes into toe; no canonical matches the entry+dex pair,structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
Double Helix,FM,hold-structural,,reverse_whirling_twirl (rejected),CLIP > (no plant while) OP BACK WHIRL [DEX][BOD] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],reverse_whirling_twirl differs in dex order,distinct whirl+swirl 5-ADD structure,structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
Flaming Homer,FM,hold-structural,,(fairy/tapping legover neighbours; no exact),TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],tapping_leg_over 3-ADD differs in dex count,three-dex all-out structure; no canonical matches,structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
Flaming Tard,FM,hold-structural,,stepping_double_switch_over (rejected),CLIP > OP IN [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],stepping_double_switch_over differs in dex directions,distinct three-dex mixed-direction structure,structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
Torquescrew,FM,hold-structural,,moby_dick (via gyro-torquescrew alias) / spinning_whirl (rejected),CLIP > OP IN [DEX] > OP BACK WHIRL [DEX] > (front) SPIN [BOD] > OP CLIP [XBD] [DEL],moby_dick=gyro_torque differs; spinning_whirl differs,bare Torquescrew structure matches no canonical (only gyro torquescrew aliases moby_dick),structural,no structural match for the bare form; new promotion,n/a,review-held (suppressed from public EV)
Your Mom,FM,hold-structural,,paradon / tapdown (rejected),TOE > OP OUT [DEX] > (no plant while) OP OUT [DEX] (XDEX)(BOD) > SAME OUT [DEX] > OP CLIP [XBD] [DEL],paradon differs; tapdown differs,distinct paradox/x-dex 3-4 dex structure; atomic_blacula (tracked target) is not a canonical,structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
Your Sister,FM,hold-structural,,dolomite (rejected),TOE > (no plant while) OP OUT [DEX][BOD] > (no plant while) SAME OUT [DEX] (XDEX)(BOD) > SAME OUT [DEX] > OP CLIP [XBD] [DEL],dolomite is 5-ADD and simpler,distinct 4-dex paradox structure; flailing_dolomite (tracked target) is not a canonical,structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
Zulu Le Loup,FM,hold-structural,,stepping_diving_double_leg_over (rejected),CLIP > DIVE [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL],stepping_diving_double_leg_over differs,distinct dive+dex structure; no canonical matches,structural,no structural match; new promotion,n/a,review-held (suppressed from public EV)
Scorpions Toe Nail,FM,hold-structural,,scorpions_tail (rejected),(no notation in source),scorpions_tail SET-based 5-ADD,name is not scorpions_tail (Toe Nail != Tail); no source notation to structurally match,unknown (no notation),name differs and no structure to confirm; new promotion,n/a,review-held (suppressed from public EV)
BS Fusion,PB,hold-structural,,"backside_fusion (absent); fusion (5, active)",(no source notation),fusion CLIP...,no backside fusion canonical; Backside is a distinct execution of fusion,n/a,Backside Fusion has no canonical; fusion is a different (non-backside) trick,BS/backside preserved,review-held (suppressed from public EV)
BS Pigbeater,PB,hold-structural,,"backside_pigbeater (absent); pigbeater (4, active)",(no notation),pigbeater ...,no backside pigbeater canonical,n/a,Backside Pigbeater has no canonical,BS preserved,review-held (suppressed from public EV)
BS Reactor,PB,hold-structural,,"backside_reactor (absent); reactor (5, active)",(no notation),reactor ...,no backside reactor canonical,n/a,Backside Reactor has no canonical,BS preserved,review-held (suppressed from public EV)
Xbd Outside Stall,PB,hold-structural,,cross_body_outside_stall (absent); outside_stall (1); cross_body_sole_stall (3),(name-level),outside_stall SET > SAME OUTSIDE [DEL],no cross-body outside stall canonical (only cross-body SOLE stall exists),n/a,the cross-body outside surface has no canonical; distinct from cross_body_sole_stall,Xbd preserved,review-held (suppressed from public EV)
Clipper far Grifter,PB,hold-structural,,reverse_drifter (far variant?),(no source notation),reverse_drifter CLIP > OP OUT [DEX] > SAME CLIP [XBD] [DEL],grifter=reverse_drifter is same-side; the FAR grifter on clipper has no separate canonical and no source notation to confirm,n/a,far-position grifter has no canonical; cannot confirm without source notation,far preserved,review-held (suppressed from public EV)
Triple ATW in-out,FM,hold-structural,,triple_around_the_world / triple_orbit (both rejected),"(source: no notation, 4 ADD)",triple_around_the_world all-inward; triple_orbit all-outward,mixed-direction (in then out) matches neither the all-inward Triple ATW nor the all-outward Triple Orbit,n/a (direction is structural),collapsing a mixed-direction form into a same-direction canonical would be false,direction order preserved,review-held (suppressed from public EV)
Triple ATW out-in,FM,hold-structural,,triple_around_the_world / triple_orbit (both rejected),"(no notation, 4 ADD)",triple ATW inward; triple orbit outward,mixed-direction (out then in) matches neither same-direction canonical,n/a,mixed-direction collapse would be false,direction order preserved,review-held (suppressed from public EV)
Symple ATW,SG,hold-doctrine,,(undefined Symple operator),(no notation),n/a,"""Symple"" is a distinct undefined FootbagMoves operator (Symple Butterfly/Swirl exist); ATW structure under it is unresolved",n/a,the Symple operator is undefined; cannot map without a ruling,n/a,review-held (suppressed from public EV)
Symple Reverse ATW,SG,hold-doctrine,,(undefined Symple operator + reverse),(no notation),n/a,undefined Symple operator plus reverse; unresolved,n/a,Symple undefined; cannot map,n/a,review-held (suppressed from public EV)
Whipping Osis,PB,hold-structural,,reverse_swirling_osis (rejected); rev-whirl osis (absent),(no source notation),reverse_swirling_osis SET-based 4-ADD,Whipping=reverse-WHIRLING but reverse_swirling_osis is reverse-SWIRLING (whirl != swirl); no reverse-whirling osis canonical exists,n/a,"the only osis-direction canonical is a swirl, not a whirl; mapping whirl->swirl would be false",n/a,review-held (suppressed from public EV)
Butterfly Swivel,SG,hold-structural,,swivel->symposium_twirl (alias); butterfly swivel (absent),(no notation),symposium_twirl ...,a butterfly swivel is not the bare swivel (symposium_twirl); no butterfly-swivel canonical,n/a,distinct compound; no canonical or alias for butterfly swivel,n/a,review-held (suppressed from public EV)
Butterfly Symp. Blink,PB,hold-structural,,(no canonical),(no notation),n/a,Symp.=Symposium expanded; butterfly symposium blink compound has no canonical,n/a,distinct compound; new promotion,n/a,review-held (suppressed from public EV)
Delusional Butterfly,SG,hold-structural,,(no canonical),(no notation),n/a,documented distinct butterfly compound; no canonical or alias,n/a,no target,n/a,review-held (suppressed from public EV)
Null Butterfly,FM,hold-structural,,(no canonical),(no notation),n/a,documented distinct butterfly compound; no canonical or alias,n/a,no target,n/a,review-held (suppressed from public EV)
Wiggle Butterfly,FM,hold-structural,,(no canonical),(no notation),n/a,documented distinct butterfly compound; no canonical or alias,n/a,no target,n/a,review-held (suppressed from public EV)
Smiling Far Butterfly,FM,hold-structural,,smiling_butterfly (absent),(no notation),n/a,smiling_butterfly is not a canonical; far positional on an absent base,n/a,base not a canonical; far positional distinct,far preserved,review-held (suppressed from public EV)
Frantic Clipper,SG,hold-structural,,frantic (operator) + clipper (no compound canonical),(no notation),n/a,frantic-clipper compound has no canonical row (frantic is an operator),n/a,unpromoted operator+base compound,n/a,review-held (suppressed from public EV)
Fusing Clipper,SG,hold-structural,,fusing (operator) + clipper (no compound canonical),(no notation),n/a,fusing-clipper compound has no canonical,n/a,unpromoted compound,n/a,review-held (suppressed from public EV)
Slapping Clipper,SG,hold-structural,,slapping (operator) + clipper (no compound canonical),(no notation),n/a,slapping-clipper compound has no canonical,n/a,unpromoted compound,n/a,review-held (suppressed from public EV)
Slapping DLO,SG,hold-structural,,slapping + double leg over (no compound canonical),(no notation),n/a,slapping-DLO compound has no canonical,n/a,unpromoted compound,n/a,review-held (suppressed from public EV)
Peeking Osis,SG,hold-structural,,(no canonical),(no notation),n/a,documented distinct osis compound; no canonical or alias,n/a,no target,n/a,review-held (suppressed from public EV)
Quasi Whirl,SG,hold-structural,,(no canonical),(no notation),n/a,documented distinct whirl compound; no canonical or alias,n/a,no target,n/a,review-held (suppressed from public EV)
Scattered Whirl,SG,hold-structural,,(no canonical),(no notation),n/a,documented distinct whirl compound; no canonical or alias,n/a,no target,n/a,review-held (suppressed from public EV)
Reverse Walkover,SG,hold-structural,,(no canonical),(no notation),n/a,documented distinct trick; no canonical or alias,n/a,no target,n/a,review-held (suppressed from public EV)
Splicing Infinity,SG,hold-structural,,(no canonical),(no notation),n/a,documented distinct compound; no canonical or alias,n/a,no target,n/a,review-held (suppressed from public EV)
Flailing Blacula,SG,hold-structural,,"blackula (5, active)",(no notation),blackula TOE > (no plant while) OP OUT [BOD][DEX] ...,flailing-blacula is a flailing operator on blackula; no such compound canonical and no source notation to confirm equivalence to bare blackula,n/a,flailing operator makes it distinct from bare blackula; no compound canonical,n/a,review-held (suppressed from public EV)
Double Whip,PB,hold-structural,,double reverse whirl (absent),(no source notation),n/a,Whipping=reverse-whirling; a double reverse-whirl has no canonical and no source notation to confirm,n/a,no double reverse-whirl canonical; ambiguous without notation,n/a,review-held (suppressed from public EV)
Whirlwind Swirl,PB,hold-structural,,whirlwind->sole_survivor (alias); + swirl,(no notation),sole_survivor ...,Whirlwind alone is sole_survivor but Whirlwind Swirl adds a swirl terminal; distinct compound,n/a,the swirl makes it distinct from bare whirlwind (sole_survivor),n/a,review-held (suppressed from public EV)
Rev. Big Apple,PB,hold-structural,,"reverse_big_apple (absent); big_apple (6, active)",(no notation),big_apple CLIP >> (back) SPIN [BOD] ...,Rev.=Reverse but no reverse Big Apple canonical exists,n/a,no reverse Big Apple canonical; direction-reversed variant would be its own row,n/a,review-held (suppressed from public EV)
Mama Curve,PB,hold-structural,,(no canonical),(no notation),n/a,documented distinct trick; no canonical or alias and no notation,n/a,no target,n/a,review-held (suppressed from public EV)
double-dex Twist,PB,hold-structural,,double twist (absent),(no notation),n/a,no twist canonical to double; structure unresolved,n/a,no twist canonical,n/a,review-held (suppressed from public EV)
Twisting near Toe,PB,hold-structural,,(no canonical),(no notation),n/a,near-positional twisting compound; no canonical,n/a,unresolved compound,near preserved,review-held (suppressed from public EV)
Warped DLO,SG,hold-structural,,(undefined Warped operator) + DLO,(no notation),n/a,Warped is an undefined operator on double leg over; no canonical,n/a,undefined operator; no compound canonical,n/a,review-held (suppressed from public EV)
Jolimont ss Mirage,FM,hold-structural,,(undefined Jolimont) + mirage,(no notation),n/a,undefined Jolimont term; ss-positional mirage compound; no canonical,n/a,undefined term; no canonical,ss preserved,review-held (suppressed from public EV)
Pixie ss Original Tap,FM,hold-structural,,(no canonical),(no notation),n/a,ss-positional pixie compound with an Original Tap base that has no canonical,n/a,no canonical for the base or compound,ss preserved,review-held (suppressed from public EV)
Illusioning far Clipper,PB,hold-doctrine,,(far illusioning clipper; category D),(no notation),n/a,category D deferred; far-position illusioning clipper; positional/doctrine open,n/a,doctrine-deferred (category D); needs a positional ruling,far preserved,review-held (suppressed from public EV)
Clipper far DSO,PB,hold-structural,,(DSO=double side over; no far-clipper DSO canonical),(no notation),n/a,far-position DSO on clipper; no canonical,n/a,unresolved positional compound,far preserved,review-held (suppressed from public EV)
Midtime Toe near Illusion,PB,hold-structural,,(no canonical),(no notation),n/a,near-positional midtime illusion compound; no canonical,n/a,unresolved compound,near preserved,review-held (suppressed from public EV)
Midtime Toe near Mirage,PB,hold-structural,,(no canonical),(no notation),n/a,near-positional midtime mirage compound; no canonical,n/a,unresolved compound,near preserved,review-held (suppressed from public EV)
Toe midtime near Whirr,PB,hold-structural,,Whirr->double_whirl; near-positional,(no notation),double_whirl SET > OP IN [DEX] x2 > OP CLIP [XBD] [DEL],near-positional midtime compound on Whirr (double_whirl); distinct positional compound,n/a,the near/midtime positional compound is distinct from bare double_whirl,near preserved,review-held (suppressed from public EV)
Toe near Triage,PB,hold-structural,,Triage->triple_mirage; near-positional,(no notation),triple_mirage ...,near-positional compound on Triage (triple_mirage); distinct positional compound,n/a,distinct from bare triple_mirage,near preserved,review-held (suppressed from public EV)
Double Over Downing Osis,FM,hold-structural,,(no canonical),(no notation),n/a,over-down + osis compound; no canonical,n/a,unpromoted compound,n/a,review-held (suppressed from public EV)
Far Triple Over Down,FM,hold-structural,,triple_over_down (absent); double_over_down (4),(no notation),double_over_down TOE > OP OUT [DEX] x2 > OP CLIP [XBD]...,no triple over down canonical exists,n/a,triple over down has no canonical,far preserved,review-held (suppressed from public EV)
Toe set os Double Over Down Dragon,FM,hold-structural,,(no canonical),(no notation),n/a,os-positional double-over-down + dragon compound; no canonical,n/a,unpromoted compound,os preserved,review-held (suppressed from public EV)
Toe set os Double Over Down Flapper,FM,hold-structural,,Flapper->cross_body_sole_stall; compound,(no notation),n/a,os-positional over-down + flapper compound; no canonical for the whole,n/a,unpromoted compound,os preserved,review-held (suppressed from public EV)
Toe set os Double Over Downing Osis,FM,hold-structural,,(no canonical),(no notation),n/a,os-positional over-down + osis compound; no canonical,n/a,unpromoted compound,os preserved,review-held (suppressed from public EV)
Toe set os Triple Over Down,FM,hold-structural,,triple_over_down (absent),(no notation),n/a,no triple over down canonical; os-positional,n/a,triple over down has no canonical,os preserved,review-held (suppressed from public EV)
Toe set ss Triple Over Down,FM,hold-structural,,triple_over_down (absent),(no notation),n/a,no triple over down canonical; ss-positional,n/a,triple over down has no canonical,ss preserved,review-held (suppressed from public EV)
Spyro Symposium Torquescrew,FM,hold-structural,,"(depends on Torquescrew, itself held)",(no notation),n/a,compound on the unresolved Torquescrew,n/a,base Torquescrew unresolved; compound cannot resolve,n/a,review-held (suppressed from public EV)
Symposium Bubba Beater,SG,hold-structural,,"(depends on Bubba Beater, itself held)",(no notation),n/a,symposium compound on the unresolved Bubba Beater,n/a,base Bubba Beater unresolved,n/a,review-held (suppressed from public EV)
